id,full name,code,acronym,country,finantial
1,Private flight,-,,,Y
2,135 Airways,,GENERAL,United States,N
3,1Time Airline,1T,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,,,United Kingdom,N
5,213 Flight Unit,,,Russia,N
6,223 Flight Unit State Airline,,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,,CARGO UNIT,Russia,N
8,247 Jet Ltd,,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,,SECUREX,United States,N
10,40-Mile Air,Q5,MILE-AIR,United States,Y
11,4D Air,,QUARTET,Thailand,N
12,611897 Alberta Limited,,DONUT,Canada,N
13,Ansett Australia,AN,ANSETT,Australia,Y
14,Abacus International,1B,,Singapore,Y
15,Abelag Aviation,W9,ABG,Belgium,N
16,Army Air Corps,,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,,ASEISA,Mexico,N
19,Aero Biniza,,BINIZA,Mexico,N
20,Aero Albatros,,ALBATROS ESPANA,Spain,N
21,Aigle Azur,ZI,AIGLE AZUR,France,Y
22,Aloha Airlines,AQ,ALOHA,United States,Y
23,Alaska Island Air,,ALASKA ISLAND,United States,N
24,American Airlines,AA,AMERICAN,United States,Y
25,Aviation Management Corporation,,AM CORP,United States,N
26,Atlantis Airlines (USA),,ATLANTIS AIR,United States,N
27,Aerovista Airlines,,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,OZ,ASIANA,Republic of Korea,Y
29,Askari Aviation,4K,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,,AUSTASIA,Australia,N
31,Astro Air International,,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,8U,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,Q9,,Gambia,N
34,Afric'air Express,,AFREX,Ivory Coast,N
35,Allegiant Air,G4,ALLEGIANT,United States,Y
36,Angus Aviation,,ANGUS,Canada,N
37,Artem-Avia,,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,K5,ABAN,Iran,n
40,Aerial Oy,,SKYWINGS,Finland,N
41,Abakan-Avia,,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,M3,ABSA Cargo,Brazil,Y
43,Abaet,,Abaet,Brazil,N
44,Alberta Citylink,,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,,AEROBUENO,Colombia,N
47,Aerocenter,, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,4,ANTRAK,Ghana,N
49,Airborne Express,GB,ABEX,United States,N
50,ABX Air,GB,ABEX,United States,N
51,ATA Brasil,,ATA-BRAZIL,Brazil,N
52,Avcard Services,,,United Kingdom,N
53,Academy Airlines,,ACADEMY,United States,N
54,Aero Comondu,,AERO COMONDU,Mexico,N
55,Astral Aviation,8V,ASTRAL CARGO,Kenya,Y
56,Air Cess,,,Liberia,N
57,Air Aurora,,BOREALIS,United States,N
58,Air Cargo Transportation System,,AFRISPIRIT,Kenya,N
59,Air Charter Service,,,United Kingdom,N
60,Aero Asia International,E4,AERO ASIA,Pakistan,N
61,Air Charters,,PARAIR,Canada,N
62,Air Togo,YT,AIR TOGO,Togo,N
63,Air Somalia,,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,,AUSCAL,Australia,N
66,Advance Leasing Company,4G,,United States,N
67,Aztec Worldwide Airlines,7A,,United States,N
68,Air Tindi,8T,,Canadian Territories,Y
69,Antonov Airlines,,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,,,Japan,N
72,Ada Air,ZY,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,,AEREA TRAINING,Spain,N
74,Audeli Air,,AUDELI,Spain,N
75,Abicar,,ABICAR,Ivory Coast,N
76,ADC Airlines,Z7,ADCO,Nigeria,N
77,Aero Dynamics,,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,,AERODIENST,Germany,N
80,Aerodiplomatic,,AERODIPLOMATIC,Mexico,N
81,Aerodyne,,AERODYNE,United States,N
82,Avion Taxi,,AIR DATA,Canada,N
83,Adria Airways,JP,ADRIA,Slovenia,Y
84,Aviones de Sonora,,SONORAV,Mexico,N
85,Air Dorval,,AIR DORVAL,Canada,N
86,Airdeal Oy,,AIRDEAL,Finland,N
87,Advance Air Charters,,ADVANCE,Canada,N
88,Air Andaman,,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,,ANDAX,United States,N
90,Air Europa,UX,EUROPA,Spain,Y
91,Air Southwest Ltd.,,AIRSOUTHWEST,Canada,N
92,Air Special,,AIRSPEC,Czech Republic,N
93,Aero Benin,EM,AEROBEN,Benin,Y
94,Aerocesar,, Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,,,Russia,N
96,Aegean Airlines,A3,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,,INTERAM,Colombia,N
99,Air Express,,KHAKI EXPRESS,Tanzania,N
100,Aerocon,,AEROCON,Bolivia,N
101,Aero Madrid,,AEROMADRID,Spain,N
